commodity,Year,price
Bananas (US East Coast),2010,0.9486
Bananas (US East Coast),2011,1.0161538461538462
Bananas (US East Coast),2012,1.028974358974359
Bananas (US East Coast),2013,0.967659574468085
Bananas (US East Coast),2014,0.9616
Bananas (US East Coast),2015,0.8914583333333334
Bananas (US East Coast),2016,0.8670588235294118
Bananas (US East Coast),2017,0.8623076923076922
Bananas (US East Coast),2018,0.9963461538461539
Bananas (US East Coast),2019,0.8733333333333333
Bananas (US East Coast),2020,0.84
Bananas (US West Coast),2010,0.9128000000000001
Bananas (US West Coast),2011,0.9843999999999999
Bananas (US West Coast),2012,0.9658974358974359
Bananas (US West Coast),2013,0.9382222222222222
Bananas (US West Coast),2014,1.0170000000000001
Bananas (US West Coast),2015,1.0810416666666667
Bananas (US West Coast),2016,1.0380392156862746
Bananas (US West Coast),2017,1.010576923076923
Bananas (US West Coast),2018,0.9878846153846154
Bananas (US West Coast),2019,1.0654901960784315
Bananas (US West Coast),2020,0.98
Barley (feed),2010,0.1875757575757576
Barley (feed),2011,0.2648387096774194
Barley (feed),2012,0.285
Barley (feed),2013,0.26235294117647057
Barley (feed),2014,0.23166666666666666
Barley (feed),2015,0.20111111111111113
Barley (feed),2016,0.16083333333333333
Barley (feed),2017,0.17833333333333334
Barley (feed),2018,0.2338888888888889
Barley (feed),2019,0.2075
Barley (feed),2020,0.1927777777777778
Beef,2010,3.2725000000000004
Beef,2011,3.9458333333333333
Beef,2012,4.176666666666667
Beef,2013,4.008333333333334
Beef,2014,5.016666666666667
Beef,2015,4.699166666666667
Beef,2016,4.170833333333333
Beef,2017,4.463333333333334
Beef,2018,4.1975
Beef,2019,4.8725
Beef,2020,4.728333333333333
Butter,2010,4.269166666666666
Butter,2011,5.023333333333333
Butter,2012,3.74
Butter,2013,4.785
Butter,2014,4.2775
Butter,2015,3.305
Butter,2016,3.473333333333333
Butter,2017,5.640833333333333
Butter,2018,5.586666666666666
Butter,2019,4.443333333333333
Butter,2020,3.7616666666666667
Cassava Chips,2010,0.20916666666666664
Cassava Chips,2011,0.2658333333333333
Cassava Chips,2012,0.23333333333333336
Cassava Chips,2013,0.2383333333333333
Cassava Chips,2014,0.2275
Cassava Chips,2015,0.2125
Cassava Chips,2016,0.17666666666666667
Cassava Chips,2017,0.1708333333333333
Cassava Chips,2018,0.22999999999999998
Cassava Chips,2019,0.215
Cassava Flour/Starch,2010,0.5091666666666667
Cassava Flour/Starch,2011,0.49
Cassava Flour/Starch,2012,0.43916666666666665
Cassava Flour/Starch,2013,0.4691666666666667
Cassava Flour/Starch,2014,0.4291666666666667
Cassava Flour/Starch,2015,0.42250000000000004
Cassava Flour/Starch,2016,0.3516666666666666
Cassava Flour/Starch,2017,0.3425
Cassava Flour/Starch,2018,0.49666666666666665
Cassava Flour/Starch,2019,0.455
Cheddar Cheese,2010,3.7383333333333333
Cheddar Cheese,2011,4.38
Cheddar Cheese,2012,3.875
Cheddar Cheese,2013,4.5633333333333335
Cheddar Cheese,2014,4.54
Cheddar Cheese,2015,3.0749999999999997
Cheddar Cheese,2016,2.8058333333333336
Cheddar Cheese,2017,3.6641666666666666
Cheddar Cheese,2018,3.735
Cheddar Cheese,2019,3.435
Cheddar Cheese,2020,3.41
Coconut oil,2010,1.1233333333333333
Coconut oil,2011,1.7316666666666667
Coconut oil,2012,1.1125
Coconut oil,2013,0.9408333333333333
Coconut oil,2014,1.2808333333333333
Coconut oil,2015,1.1091666666666666
Coconut oil,2016,1.4766666666666666
Coconut oil,2017,1.6050000000000002
Coconut oil,2018,1.0033333333333332
Coconut oil,2019,0.7374999999999999
Coconut oil,2020,0.885
Groundnuts,2010,1.2808333333333333
Groundnuts,2011,2.0866666666666664
Groundnuts,2012,2.1750000000000003
Groundnuts,2013,1.3775000000000002
Groundnuts,2014,1.2966666666666666
Groundnuts,2015,1.2483333333333333
Groundnuts,2016,1.3625
Groundnuts,2017,1.4716666666666667
Groundnuts,2018,1.3258333333333334
Groundnuts,2019,1.3333333333333333
Groundnuts,2020,1.51
Jute,2010,0.8633333333333333
Jute,2011,0.6383333333333333
Jute,2012,0.5158333333333334
Jute,2013,0.6016666666666667
Jute,2014,0.6358333333333334
Jute,2015,0.7324999999999999
Jute,2016,0.7841666666666667
Jute,2017,0.67
Jute,2018,0.7975
Jute,2019,0.8089999999999999
Lamb,2010,3.6741666666666664
Lamb,2011,5.531666666666666
Lamb,2012,4.655833333333334
Lamb,2013,4.131666666666667
Lamb,2014,4.701666666666667
Lamb,2015,3.643333333333333
Lamb,2016,3.578333333333333
Lamb,2017,4.489166666666667
Lamb,2018,5.245
Lamb,2019,5.1275
Lamb,2020,4.365
Maize,2010,0.1906923076923077
Maize,2011,0.289765625
Maize,2012,0.287421875
Maize,2013,0.25208
Maize,2014,0.196015625
Maize,2015,0.17015625
Maize,2016,0.1673076923076923
Maize,2017,0.158359375
Maize,2018,0.168359375
Maize,2019,0.167421875
Maize,2020,0.16296875
Maize (feed),2010,0.19666666666666666
Maize (feed),2011,0.28714285714285714
Maize (feed),2012,0.27625
Maize (feed),2013,0.24363636363636365
Maize (feed),2014,0.20285714285714285
Maize (feed),2015,0.17238095238095238
Maize (feed),2016,0.18190476190476193
Maize (feed),2017,0.165
Maize (feed),2018,0.18
Maize (feed),2019,0.1729166666666667
Maize (feed),2020,0.1725
Rice,2010,0.5593197278911565
Rice,2011,0.6202631578947368
Rice,2012,0.606832298136646
Rice,2013,0.6248101265822785
Rice,2014,0.5938749999999999
Rice,2015,0.49930817610062894
Rice,2016,0.46113207547169816
Rice,2017,0.5013664596273292
Rice,2018,0.5447530864197531
Rice,2019,0.5207547169811321
Rice,2020,0.587
Sisal,2010,0.8747916666666667
Sisal,2011,1.0860416666666668
Sisal,2012,1.218125
Sisal,2013,1.254375
Sisal,2014,1.5220833333333335
Sisal,2015,1.8258333333333334
Sisal,2016,1.74875
Sisal,2017,1.6845833333333333
Sisal,2018,1.6222916666666667
Sisal,2019,1.5534090909090907
Skim Milk Powder,2010,2.9716666666666662
Skim Milk Powder,2011,3.4091666666666662
Skim Milk Powder,2012,3.0625
Skim Milk Powder,2013,4.1475
Skim Milk Powder,2014,3.606666666666667
Skim Milk Powder,2015,2.09
Skim Milk Powder,2016,1.9858333333333336
Skim Milk Powder,2017,2.0100000000000002
Skim Milk Powder,2018,1.8341666666666667
Skim Milk Powder,2019,2.4408333333333334
Skim Milk Powder,2020,2.5833333333333335
Sorghum,2010,0.1920754716981132
Sorghum,2011,0.2786
Sorghum,2012,0.2696153846153846
Sorghum,2013,0.245
Sorghum,2014,0.2078846153846154
Sorghum,2015,0.20529411764705885
Sorghum,2016,0.15339622641509434
Sorghum,2017,0.16346153846153846
Sorghum,2018,0.1678
Sorghum,2019,0.16173076923076923
Sorghum,2020,0.16962962962962963
Soybean,2010,0.4291666666666667
Soybean,2011,0.5245833333333333
Soybean,2012,0.5783333333333334
Soybean,2013,0.545
Soybean,2014,0.49374999999999997
Soybean,2015,0.3841666666666667
Soybean,2016,0.3941666666666667
Soybean,2017,0.38666666666666666
Soybean,2018,0.3775
Soybean,2019,0.3575
Soybean,2020,0.35083333333333333
Tea,2010,2.549166666666667
Tea,2011,2.7158333333333338
Tea,2012,2.8891666666666667
Tea,2013,2.401666666666667
Tea,2014,2.0433333333333334
Tea,2015,2.7433333333333336
Tea,2016,2.3000000000000003
Tea,2017,2.8008333333333333
Tea,2018,2.415
Tea,2019,2.0816666666666666
Tea,2020,2.0140000000000002
Wheat,2010,0.24446153846153848
Wheat,2011,0.31455497382198955
Wheat,2012,0.3079891304347826
Wheat,2013,0.3107446808510638
Wheat,2014,0.28267379679144383
Wheat,2015,0.22406250000000003
Wheat,2016,0.1915897435897436
Wheat,2017,0.19572916666666665
Wheat,2018,0.22875
Wheat,2019,0.22197916666666664
Wheat,2020,0.23212121212121212
Wheat (feed),2010,0.19761904761904764
Wheat (feed),2011,0.2710526315789474
Wheat (feed),2012,0.2917391304347826
Wheat (feed),2013,0.27
Wheat (feed),2014,0.2354166666666667
Wheat (feed),2015,0.19083333333333333
Wheat (feed),2016,0.1679166666666667
Wheat (feed),2017,0.18333333333333335
Wheat (feed),2018,0.20421052631578948
Wheat (feed),2019,0.19857142857142857
Wheat (feed),2020,0.21333333333333335
Wheat (milling),2010,0.19833333333333333
Wheat (milling),2011,0.27305555555555555
Wheat (milling),2012,0.28791666666666665
Wheat (milling),2013,0.2902222222222222
Wheat (milling),2014,0.26489583333333333
Wheat (milling),2015,0.215
Wheat (milling),2016,0.17937499999999998
Wheat (milling),2017,0.1865625
Wheat (milling),2018,0.20479166666666668
Wheat (milling),2019,0.21208333333333332
Wheat (milling),2020,0.2275
